process	service_or_surface	credential_capability_or_companion	current_producer	current_consumer	reachability	atomic_cut_disposition	receipt
ogz-prime-v2	voice/video	ELEVENLABS_API_KEY,DID_API_KEY	ambient process.env fallback	core/trai_core.js:80-94,242-251,587-600	features false in current runner construction	implementation_required	remove ambient fallback while preserving both features disabled; no provider activation
ogz-prime-v2	read-only repository tools	Mercury embedding key as accidental import dependency	full Mercury config import	trai_brain/read_only_tools.js:1-11,31-35; core/trai_core.js:67-69	bot toolbox optional path	implementation_required	extract repository policy from provider config; report optional toolbox acquisition without requiring an embedding key
ogz-prime-v2	singleton input	DATA_DIR,CANDLE_SOURCE,EXECUTION_MODE,BACKTEST_MODE,TEST_MODE,BACKTEST_SILENT	inherited/PM2 input or accidental notifier hydration	core/SingletonLock.js:10-43	constructed/acquired at run-empire-v2.js:431-437	implementation_required	deliver existing inputs from accepted settings/internals snapshot; lock policy remains J2
ogz-prime-v2	asset startup identity	BROKER,TRADING_PAIR	inherited/PM2 input or accidental notifier hydration	core/MultiAssetManager.js:30-57	constructed at run-empire-v2.js:1889-1890	implementation_required	deliver accepted identity explicitly; switching policy remains separate
ogz-prime-v2	TrAI pattern pack	TRAI_PATTERN_PACK_PATH	inherited/PM2 input or accidental notifier hydration	core/TRAIDecisionModule.js:88-91	constructed at run-empire-v2.js:769-779	implementation_required	deliver path from accepted snapshot; no confidence or pattern-policy change
ogz-prime-v2	pattern identity and persistence	BROKER,ASSET_CLASS,DATA_DIR,BACKTEST_NO_PATTERN_SAVE	inherited/PM2 input or accidental notifier hydration	core/UnifiedPatternMemory.js:191-206,226-250; core/TradingLoop.js:2157-2163	first construction at run-empire-v2.js:594-600	implementation_required	move first identity/root/persistence inputs atomically to accepted snapshot
ogz-prime-v2	backtest output	BACKTEST_OUTPUT_DIR	inherited/PM2 input or accidental notifier hydration	core/OutputPaths.js:11-17,46-53	backtest output consumers	implementation_required	deliver output root from internals/settings owner
ogz-prime-v2	narrator	ARCHITECT_NARRATOR,USER_NARRATOR,NARRATOR_LABEL_SEED	inherited/PM2 input or accidental notifier hydration	core/TradeNarrator.js:290-309	StateManager import path	implementation_required	deliver existing narrator settings explicitly without earlier ambient activation
ogz-websocket	dashboard auth	WEBSOCKET_AUTH_TOKEN	dashboard-local dotenv mutation	ogzprime-ssl-server.js:156-177,1797-1819	declared dashboard process	implementation_required	inject bootstrap credential at both consumers; remove local dotenv producer
ogz-websocket	dashboard session security	NODE_ENV	dashboard-local dotenv mutation	server/dashboard-session-auth.js:92-113	declared dashboard process	implementation_required	deliver true launch identity explicitly to existing cookie predicate
ogz-websocket	Alpaca dashboard data	ALPACA_API_KEY,ALPACA_API_SECRET	dashboard-local dotenv mutation	server/dashboard-stock-stream-config.js:93-154; ogzprime-ssl-server.js:1136-1160	declared dashboard process	implementation_required	pass bootstrap credentials and accepted stock settings through existing resolver
ogz-websocket	TrAI LLM	dynamic key named by trai.llm.apiKeyEnv	dashboard-local dotenv mutation	core/trai_llm_config.js:54-83; ogzprime-ssl-server.js:238-249	lazy on first TrAI request	implementation_required	capture accepted credential/config view for lazy callback
ogz-websocket	news search	TAVILY_API_KEY or BRIGHTDATA_API_KEY or Alpaca keys plus provider companions	dashboard-local dotenv mutation	core/NewsSearchProvider.js:71-137; ogzprime-ssl-server.js:252-262	selected news provider	implementation_required	pass bootstrap credentials plus settings/internals companions to existing resolver
ogz-websocket	Polygon market data	POLYGON_API_KEY	dashboard-local dotenv mutation	ogzprime-ssl-server.js:295-313	market-data endpoints	implementation_required	inject bootstrap credential into request boundary
ogz-stripe	Stripe	STRIPE_SECRET_KEY	checkout-local dotenv mutation	public/stripe-checkout.js:15,31-78	declared PM2 process	implementation_required	construct client from explicit bootstrap credential; port from accepted snapshot
ogz-supervisor	deadman heartbeat	SUPERVISOR_DEADMAN_URL	launcher environment	scripts/supervisor-daemon.js:45-58,223-244	declared PM2 process; optional	implementation_required	pass capability URL through bootstrap owner; redact diagnostics; preserve optional behavior
ogz-supervisor	alert-hook extension	SUPERVISOR_ALERT_HOOK	launcher environment	scripts/supervisor-daemon.js:202-219	configured dynamic extension	implementation_required	deliver module path from accepted snapshot; preserve conditional import behavior and policy
multiple	generated dashboard sessions	random session and ticket values	server/dashboard-session-auth.js:42-89	server/dashboard-session-auth.js:56-89	dashboard process	already_correct_not_bootstrap_input	keep generated in memory
ogz-supervisor	ledger signing key	generated supervisor-hmac.key	core/Supervisor.js:143,848-869	core/Supervisor.js:872-877	supervisor process	already_correct_not_bootstrap_input	keep generated 0600 key under supervisor owner
tooling	standalone Mercury and one-off tools	provider-specific API keys	tool-local environment	trai_brain/mercury-bridge executors and scripts	separate execution boundary	belongs_to_j17_or_tool_owner	no J1 provider or transport edit
