id	surface	path_or_key	def	current_value	source_layer	readers	live_path	proposed_disposition	reason
L0026	decision-literal	TradingLoop.warmupGateBars (actual gate)	core/TradingLoop.js:1309	15	code-literal	analyzeAndTrade() warmup check, self	yes	MOVE-TO-INTERNALS	same constant, the live boolean check
L0027	decision-literal	TradingLoop.warmupGateBars (autopsy record)	core/TradingLoop.js:1329	15	code-literal	_writeDecisionAutopsy() riskGates entry, self	yes	MOVE-TO-INTERNALS	explicitly tabled mandatory row (warmup gate)
L0028	decision-literal	TradingLoop.maxPositions fallback	core/TradingLoop.js:1451,1499,1527	3	code-literal (ConfigLoader ?? fallback)	analyzeAndTrade() position-limit gate, self:1527	yes	HOLD-NEEDS-OWNER	position-limit fallback duplicated 3x, not in slice-5 literal table
L0029	decision-literal	TradingLoop.candlePatternMinConfidence fallback	core/TradingLoop.js:2153	0.70	code-literal (ConfigLoader || fallback)	_gatherData() pattern filter, self:2154	yes	HOLD-NEEDS-OWNER	falsy-zero hazard: configured 0 would become 0.70; not in slice-5 table
L0030	decision-literal	TradingLoop.candlePattern confidence fallback	core/TradingLoop.js:2154	0	code-literal	_gatherData() pattern filter predicate, self	yes	HOLD-NEEDS-OWNER	pattern confidence default, not in slice-5 literal table
L0031	decision-literal	TradingLoop.fibonacciWarmupBars (exit-only path)	core/TradingLoop.js:1102	30	code-literal (plain)	exit-check method, fibonacciDetector gate, self	yes	HOLD-NEEDS-OWNER	fib readiness gate, duplicate of L0032
L0032	decision-literal	TradingLoop.fibonacciWarmupBars (entry path)	core/TradingLoop.js:2231	30	code-literal (plain)	_gatherData() fibonacciDetector gate, self	yes	HOLD-NEEDS-OWNER	fib readiness gate, duplicate of L0031
L0033	decision-literal	TradingLoop dashboard proximity block	core/TradingLoop.js:2432-2438	RSI 30/70; EMA20&gt;EMA50; confluence&gt;=2; conf&gt;=65; weight=0.2x5; is_golden&gt;=0.8	code-literal	_sendGoldenSetupState() dashboard emitter, self	yes	MOVE-TO-INTERNALS	display only - explicitly tabled mandatory row
L0034	decision-literal	TradingLoop confluence/sizingMultiplier ledger-mirror fallbacks	core/TradingLoop.js:1924,1931-1933,1967	count||1; sizingMultiplier??1.0 (x2)	code-literal	_buildLedgerData() journal recording only, self	yes	HOLD-NEEDS-OWNER	ledger mirror of OrderExecutor sizing math; owner confirm these never feed decisions
L0035	constructor-literal	run-empire-v2.TradeIntelligenceEngine literals	run-empire-v2.js:671-680	profitTakePartial 1.5, profitTrailTight 2.5, lossWarning 0.5, lossCut 1.5, minHoldTime 2, staleTradeTime 30	constructor-default	TradeIntelligenceEngine ctor, self	yes	MOVE-TO-SETTINGS	explicitly tabled mandatory row (TIE literals)
L0036	constructor-literal	run-empire-v2.FibonacciDetector	run-empire-v2.js:637-641	lookbackCandles 100, strengthRequired 3, proximityThreshold 0.5	constructor-default	FibonacciDetector ctor, self	yes	MOVE-TO-SETTINGS	explicitly tabled mandatory row
L0037	constructor-literal	run-empire-v2.MessageQueue	run-empire-v2.js:1234-1240	maxQueueSize 50, minProcessingGapMs 5, staleThresholdMs 3000	constructor-default	MessageQueue ctor, self	yes	MOVE-TO-INTERNALS	explicitly tabled mandatory row
L0038	constructor-literal	run-empire-v2.StrategyOrchestrator minConfluenceCount override	run-empire-v2.js:631	1	constructor-literal (hardcoded at call site)	StrategyOrchestrator ctor call, self	yes	HOLD-NEEDS-OWNER	hardcoded override of orchestrator default, not in slice-5 table
L0039	constructor-literal	run-empire-v2.MADynamicSR ctor fallback bundle	run-empire-v2.js:712-725	12 params (entryMaPeriod 20 ... patternPersistBars 15)	constructor-default	MADynamicSR ctor call, self	yes	HOLD-NEEDS-OWNER	construction-site fallback bundle for live strategy, not in slice-5 table
L0040	constructor-literal	run-empire-v2.VolumeProfile ctor fallback bundle	run-empire-v2.js:744-750	sessionLookback 96, numBins 50, valueAreaPct 0.70, outOfBalancePct 0.5, recalcInterval 5	constructor-default	VolumeProfile ctor call, self; feeds VP-zone boosts	yes	HOLD-NEEDS-OWNER	VP zone-classification inputs, not in slice-5 table
L0041	constructor-literal	run-empire-v2.AdaptiveTimeframeSelector.minSwitchIntervalMs	run-empire-v2.js:697-701	300000ms	constructor-literal	AdaptiveTimeframeSelector ctor, self	none	HOLD-NEEDS-OWNER	single-timeframe pin makes switch logic unreachable
L0042	constructor-literal	run-empire-v2.TRAIDecisionModule enableLLM	run-empire-v2.js:777	true	constructor-literal (hardcoded)	TRAIDecisionModule ctor call, self	yes	HOLD-NEEDS-OWNER	unconditionally forces LLM path on regardless of config
L0043	constructor-literal	run-empire-v2.CandleStore maxCandles	run-empire-v2.js:815	250	constructor-literal	CandleStore ctor, self	yes	KEEP-AS-CODE-CONSTANT	buffer-size mechanic, off decision path
L0044	decision-literal	TRAIDecisionModule.confidenceWeight	core/TRAIDecisionModule.js:47	0.3	constructor-default	blendConfidences() :667,684	yes	HOLD-NEEDS-OWNER	two answers vs trai.weight, stop 10
L0045	decision-literal	TRAIDecisionModule.enableVetoPower hardcoded override	core/TRAIDecisionModule.js:50,66	false (re-set AFTER config spread)	constructor-default (self-clobbering)	self; caller run-empire-v2.js:773 value silently discarded	yes	HOLD-NEEDS-OWNER	MAJOR: line 66 re-sets enableVetoPower:false after spread - config knob is inert
L0046	decision-literal	TRAIDecisionModule veto always-false	core/TRAIDecisionModule.js:271,810-812	false	code-literal	processDecision() :271; checkVetoConditions() stub	yes	HOLD-NEEDS-OWNER	veto path hardcoded no-op; comments say intentional pending Trey re-authorization
L0047	constructor-literal	TRAIDecisionModule.{minConfidenceOverride,maxConfidenceOverride} defaults	core/TRAIDecisionModule.js:45-46	0.40/0.95	constructor-default	makeRecommendation() :779-781	yes	HOLD-NEEDS-OWNER	second-authority fallback vs trai.minConf/maxConf
L0048	decision-literal	TRAIDecisionModule.maxRiskTolerance default	core/TRAIDecisionModule.js:51	0.03	constructor-default	assessRisk() :760	yes	HOLD-NEEDS-OWNER	second-authority fallback vs trai.maxRisk
L0049	decision-literal	TRAIDecisionModule.emergencyStopLoss default	core/TRAIDecisionModule.js:52	0.05	constructor-default (not passed by ctor call)	assessRisk() :750,756	yes	HOLD-NEEDS-OWNER	no config path exists - hardcoded default IS production behavior
L0050	decision-literal	TRAIDecisionModule.minSampleSize default	core/TRAIDecisionModule.js:56	100	constructor-default (not passed by ctor call)	calculateConfidence() legacy gate :601	yes	HOLD-NEEDS-OWNER	no config path exists - hardcoded value is only authority
L0051	decision-literal	TRAIDecisionModule.calculateConfidence base defaults	core/TRAIDecisionModule.js:554,561	hold=0.3, buy/sell=0.5; floor=0.3	code-literal (plain)	calculateConfidence(), self	yes	HOLD-NEEDS-OWNER	hardcoded starting-confidence logic on live TRAI path
L0052	decision-literal	TRAIDecisionModule.calculateConfidence pattern/indicator scale	core/TRAIDecisionModule.js:569,578	x0.1 each	code-literal (plain)	calculateConfidence(), self	yes	HOLD-NEEDS-OWNER	hardcoded confidence-blend weighting
L0053	decision-literal	TRAIDecisionModule.calculateConfidence sentiment/volatility nudges	core/TRAIDecisionModule.js:585,587,592,594	+0.05/+0.05/+0.03/-0.05	code-literal (plain)	calculateConfidence(), self	yes	HOLD-NEEDS-OWNER	hardcoded regime/volatility confidence nudges
L0054	decision-literal	TRAIDecisionModule.calculateConfidence historical blend	core/TRAIDecisionModule.js:603	0.7/0.3	code-literal (plain)	calculateConfidence(), self	yes	HOLD-NEEDS-OWNER	hardcoded confidence/history blend weight
L0055	decision-literal	TRAIDecisionModule.evaluatePatterns bundle	core/TRAIDecisionModule.js:629,631,635	strong +0.15, weak +0.08, cap 0.3	code-literal (plain)	evaluatePatterns() via calculateConfidence :567	yes	HOLD-NEEDS-OWNER	hardcoded pattern-strength confidence contribution
L0056	decision-literal	TRAIDecisionModule.scoreIndicators bundle	core/TRAIDecisionModule.js:649-657	RSI band +0.1/+0.05 x2, MACD/trend +0.1 each	code-literal (plain)	scoreIndicators() via calculateConfidence :576	yes	HOLD-NEEDS-OWNER	hardcoded indicator-alignment confidence contribution
L0057	decision-literal	TRAIDecisionModule.blendConfidences bundle	core/TRAIDecisionModule.js:678,686,691,695	advisory x0.9; cap 1.0; hybrid x0.7/x0.3	code-literal (plain)	blendConfidences(), self	yes	HOLD-NEEDS-OWNER	only passive branch exercised while trai.mode=passive; others dormant
L0058	decision-literal	TRAIDecisionModule.assessRisk risk-score bundle	core/TRAIDecisionModule.js:724,728-729,735,741-742	volx10; lowConf +(0.5-conf)*0.5; uncertain +0.2; hours0-6 +0.1	code-literal (plain)	assessRisk(), self	yes	HOLD-NEEDS-OWNER	fully hardcoded risk-scoring formula, no config path
L0059	decision-literal	TRAIDecisionModule.makeRecommendation STRONG threshold	core/TRAIDecisionModule.js:795,797	0.7	code-literal (plain)	makeRecommendation(), self	yes	HOLD-NEEDS-OWNER	hardcoded signal-strength label threshold
L0060	constructor-literal	TRAIDecisionModule.calculateAdjustments bundle	core/TRAIDecisionModule.js:897,903,906,915,924	conf&gt;0.8 1.2x; conf&lt;0.6 0.8x; risk&gt;0.5 0.8x stop; lowliq 0.7x target	code-literal (plain)	calculateAdjustments(), gated mode!==passive :306-307	none	HOLD-NEEDS-OWNER	unreachable while trai.mode=passive; goes live on any mode change
L0061	decision-literal	ConfigLoader.getRegimeMultipliers unknown-regime fallback	foundation/ConfigLoader.js:4019	{slMultiplier:1.0,tpMultiplier:1.0}	code-literal	getRegimeMultipliers() - zero callers repo-wide	none	HOLD-NEEDS-OWNER	mandatory known row; dead fallback for dead accessor
Z0001	decision-literal	run-empire-v2.ENABLE_DPS gate	run-empire-v2.js:279	process.env.ENABLE_DPS === 'true'	code-literal	run-empire-v2.js:280	yes	HOLD-NEEDS-OWNER	raw env gate outside ConfigLoader decides whether DynamicPositionSizer is loaded; absent env silently disables sizing module
Z0002	decision-literal	StrategyOrchestrator.confluenceSizing ladder	core/StrategyOrchestrator.js:839	{1:1.0, 2:1.5, 3:2.0, 4:2.5}	code-literal	core/StrategyOrchestrator.js:2875	yes	HOLD-NEEDS-OWNER	confluence position-size multiplier ladder with no ConfigLoader key (dup of L0001)
Z0003	decision-literal	StrategyOrchestrator confluence sizing cap	core/StrategyOrchestrator.js:2875	2.5	code-literal	core/StrategyOrchestrator.js:2876	yes	HOLD-NEEDS-OWNER	terminal sizing-multiplier fallback multiplies final position size
Z0004	decision-literal	TradingLoop TRAI context volume	core/TradingLoop.js:2303	'normal'	code-literal	core/TradingLoop.js:2303	yes	HOLD-NEEDS-OWNER	missing market volume labelled 'normal' into TRAI decision context
Z0005	decision-literal	TradingLoop TRAI context regime	core/TradingLoop.js:2303	'unknown'	code-literal	core/TradingLoop.js:2303	yes	HOLD-NEEDS-OWNER	missing regime labelled 'unknown' into TRAI decision context
Z0006	decision-literal	DynamicTrailingStop.atrMultiplier	core/exit/DynamicTrailingStop.js:41	2.0	code-literal	core/exit/DynamicTrailingStop.js:41	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired (zero live requires; logic lifted into ExitContractManager._updateTrailingStopState); raw env read bypasses loader trail.atrMultiplier
Z0007	decision-literal	DynamicTrailingStop.minActivation	core/exit/DynamicTrailingStop.js:45	1.5	code-literal	core/exit/DynamicTrailingStop.js:45	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; raw env read bypasses loader trail.minActivation
Z0008	decision-literal	DynamicTrailingStop.trendWidenMultiplier	core/exit/DynamicTrailingStop.js:48	1.5	code-literal	core/exit/DynamicTrailingStop.js:48	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; raw env read bypasses loader trail.trendWiden
Z0009	decision-literal	DynamicTrailingStop.structureTightenMultiplier	core/exit/DynamicTrailingStop.js:51	0.5	code-literal	core/exit/DynamicTrailingStop.js:51	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; raw env read bypasses loader trail.structureTighten
Z0010	decision-literal	DynamicTrailingStop.minTrailPercent	core/exit/DynamicTrailingStop.js:54	0.3	code-literal	core/exit/DynamicTrailingStop.js:54	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; trail floor has no env and no loader key
Z0011	decision-literal	DynamicTrailingStop.maxTrailPercent	core/exit/DynamicTrailingStop.js:57	3.0	code-literal	core/exit/DynamicTrailingStop.js:57	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; trail ceiling has no env and no loader key
Z0012	decision-literal	DynamicTrailingStop.roundNumberProximity	core/exit/DynamicTrailingStop.js:60	0.5	code-literal	core/exit/DynamicTrailingStop.js:60	none	HOLD-NEEDS-OWNER	CORRECTED at assembly: class unwired; round-number proximity has no env and no loader key
Z0013	decision-literal	MultiAssetManager default broker	core/MultiAssetManager.js:40	'kraken'	code-literal	core/MultiAssetManager.js:41	yes	HOLD-NEEDS-OWNER	raw process.env.BROKER with 'kraken' literal selects venue outside ConfigLoader
Z0014	decision-literal	MultiAssetManager default asset	core/MultiAssetManager.js:39,47	'BTC-USD'	code-literal	core/MultiAssetManager.js:48	yes	HOLD-NEEDS-OWNER	raw process.env.TRADING_PAIR fallback selects traded instrument outside ConfigLoader
Z0015	decision-literal	UnifiedPatternMemory bucket ticker	core/UnifiedPatternMemory.js:193	process.env.TRADING_PAIR || ''	code-literal	core/UnifiedPatternMemory.js:249	yes	HOLD-NEEDS-OWNER	empty-string fallback silently merges pattern memory across symbols
Z0016	decision-literal	UnifiedPatternMemory asset class	core/UnifiedPatternMemory.js:200	process.env.ASSET_CLASS w/ broker inference	code-literal	core/UnifiedPatternMemory.js:249	yes	HOLD-NEEDS-OWNER	raw env picks pattern-memory bucket outside ConfigLoader
Z0017	decision-literal	UnifiedPatternMemory.findSimilarPatterns threshold	core/UnifiedPatternMemory.js:1141	0.8	code-literal	EnhancedPatternRecognition findSimilarPatterns delegate	yes	HOLD-NEEDS-OWNER	pattern-similarity cutoff is default param, no config key
Z0018	decision-literal	UnifiedPatternMemory.findSimilarPatterns limit	core/UnifiedPatternMemory.js:1141	5	code-literal	EnhancedPatternRecognition findSimilarPatterns delegate	yes	HOLD-NEEDS-OWNER	matched-pattern count is default param, no config key
Z0019	decision-literal	BreakAndRetest.sessionLookback	modules/BreakAndRetest.js:52	96	code-literal	modules/BreakAndRetest.js:133	yes	HOLD-NEEDS-OWNER	new BreakAndRetest() with no config at SO.js:871,1814 - literal is the live value
Z0020	decision-literal	BreakAndRetest.srZonePct	modules/BreakAndRetest.js:55	0.5	code-literal	key-level grouping	yes	HOLD-NEEDS-OWNER	no config passed; sets S/R zone width
Z0021	decision-literal	BreakAndRetest.minLevelTests	modules/BreakAndRetest.js:58	2	code-literal	key-level filter	yes	HOLD-NEEDS-OWNER	no config passed; gates key levels
Z0022	decision-literal	BreakAndRetest.swingLookback	modules/BreakAndRetest.js:61	5	code-literal	swing detection	yes	HOLD-NEEDS-OWNER	no config passed; sets swing pivot width
Z0023	decision-literal	BreakAndRetest.breakConfirmPct	modules/BreakAndRetest.js:65	0.15	code-literal	break confirmation	yes	HOLD-NEEDS-OWNER	no config passed; break-confirmation distance
Z0024	decision-literal	BreakAndRetest.minBreakerBodyRatio	modules/BreakAndRetest.js:68	0.4	code-literal	modules/BreakAndRetest.js:323	yes	HOLD-NEEDS-OWNER	no config passed; breaker-candle qualification
Z0025	decision-literal	BreakAndRetest.retestZonePct	modules/BreakAndRetest.js:72	0.3	code-literal	retest check	yes	HOLD-NEEDS-OWNER	no config passed; retest entry zone
Z0026	decision-literal	BreakAndRetest.maxRetestWait	modules/BreakAndRetest.js:75	20	code-literal	setup expiry	yes	HOLD-NEEDS-OWNER	no config passed; bounds setup lifetime
Z0027	decision-literal	BreakAndRetest.rewardRiskRatio	modules/BreakAndRetest.js:89	1.5	code-literal	modules/BreakAndRetest.js:438,494	yes	HOLD-NEEDS-OWNER	no config passed; sets PT1 target R
Z0028	decision-literal	TimeSeriesMomentum.partialExit fallback	modules/TimeSeriesMomentum.js:93	{enabled:false,triggerR:1,fraction:0.5,remainderTrail:'atr'}	code-literal	exit build	yes	HOLD-NEEDS-OWNER	only TSM field not routed through requiredConfig
Z0029	decision-literal	AlpacaAdapter STREAM_BAR_TIMEFRAME	brokers/AlpacaAdapter.js:27	'1m'	code-literal	stream subscribe	yes	HOLD-NEEDS-OWNER	hard constant fixes streaming bar resolution feeding all strategies
Z0030	decision-literal	AlpacaAdapter interval map fallback	brokers/AlpacaAdapter.js:929	map['1m']	code-literal	brokers/AlpacaAdapter.js:929	yes	HOLD-NEEDS-OWNER	unknown timeframe silently resolves to 1m interval
Z0031	decision-literal	KrakenIBrokerAdapter dataTimeout	brokers/KrakenIBrokerAdapter.js:80	60000	code-literal	brokers/KrakenIBrokerAdapter.js:90,92	yes	HOLD-NEEDS-OWNER	health-gate literal decides when feed declared dead
Z0032	decision-literal	KrakenIBrokerAdapter interval fallback	brokers/KrakenIBrokerAdapter.js:302	1 (minute)	code-literal	brokers/KrakenIBrokerAdapter.js:296	yes	HOLD-NEEDS-OWNER	unknown candle interval silently resolves to 1 minute
Z0033	decision-literal	KrakenIBrokerAdapter min order size	brokers/KrakenIBrokerAdapter.js:490	minimums.default	code-literal	brokers/KrakenIBrokerAdapter.js:482-490	yes	HOLD-NEEDS-OWNER	unlisted symbol falls to default order-size floor
Z0034	decision-literal	GeminiAdapter sandbox default	brokers/GeminiAdapter.js:24	false	code-literal	brokers/GeminiAdapter.js:29	none	HOLD-NEEDS-OWNER	absent config defaults to LIVE endpoint; broker dormant
Z0035	decision-literal	GeminiAdapter min order size	brokers/GeminiAdapter.js:457	0.001	code-literal	brokers/GeminiAdapter.js:447-457	none	HOLD-NEEDS-OWNER	unlisted symbol order-size floor; broker dormant
Z0036	decision-literal	UpholdAdapter sandbox default	brokers/UpholdAdapter.js:25	false	code-literal	brokers/UpholdAdapter.js:30	none	HOLD-NEEDS-OWNER	absent config defaults to LIVE endpoint; broker dormant
Z0037	decision-literal	UpholdAdapter min order size	brokers/UpholdAdapter.js:373	1	code-literal	brokers/UpholdAdapter.js:363-373	none	HOLD-NEEDS-OWNER	unlisted symbol $1 order floor; broker dormant
Z0038	decision-literal	SchwabAdapter pricehistory period	brokers/SchwabAdapter.js:402	10	code-literal	brokers/SchwabAdapter.js:407	none	HOLD-NEEDS-OWNER	hardcoded lookback bounds history; broker dormant
Z0039	decision-literal	SchwabAdapter frequency fallback	brokers/SchwabAdapter.js:404	30	code-literal	brokers/SchwabAdapter.js:407	none	HOLD-NEEDS-OWNER	non-1m/5m timeframe silently becomes 30-minute bars; broker dormant
Z0040	decision-literal	CMEAdapter order backend	brokers/CMEAdapter.js:25	'interactive-brokers'	code-literal	brokers/CMEAdapter.js:62,179	none	HOLD-NEEDS-OWNER	literal selects CME order routing backend; broker dormant
C0001	decision-literal	PositionSizer._calculateConfidenceMultiplier.anchor+slope	core/PositionSizer.js:112	0.5, 4.0	code-literal	OrderExecutor.js:3111-3113 (duplicate live copy)	none	MOVE-TO-SETTINGS	sort-table rule; calculate() never invoked (run-empire-v2.js:653 constructs but never calls)
C0002	decision-literal	PositionSizer._calculateConfidenceMultiplier.clamp	core/PositionSizer.js:114	min0.5/max2.5	code-literal	same as C0001	none	MOVE-TO-SETTINGS	same rule family as C0001
C0003	constructor-literal	PositionSizer.minPositionPercent	core/PositionSizer.js:37	0.01	constructor-default	PositionSizer.js:33,93	none	HOLD-NEEDS-OWNER	orphan class, no live consumer
C0004	constructor-literal	PositionSizer.useKelly	core/PositionSizer.js:38	false	constructor-default	PositionSizer.js:144,183	none	HOLD-NEEDS-OWNER	orphan class, no live consumer
C0005	decision-literal	PositionSizer.calculate.clampCeiling3x	core/PositionSizer.js:81	*3	code-literal	PositionSizer.js:81	none	HOLD-NEEDS-OWNER	orphan class, no live consumer
C0006	decision-literal	PositionSizer.calculateKelly.halfKelly	core/PositionSizer.js:157	/2	code-literal	PositionSizer.js:160	none	KEEP-AS-CODE-CONSTANT	canonical half-Kelly definition, pure mechanic
C0007	decision-literal	OrderExecutor entry sizing anchor+slope (duplicate)	core/OrderExecutor.js:3111-3113	0.5, 4.0, clamp 0.5/2.5	code-literal	OrderExecutor.js:3114,3131,3187 (_buildEntryPlan)	yes	MOVE-TO-SETTINGS	live duplicate of PositionSizer:112 rule; this is the actually-executing formula
