source_path	original_sha256	original_bytes	committed_path	redacted_sha256	redacted_bytes
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/fable_challenger-1.raw	c9243ca33fdca3e4e60d3edfaf9d5fea36ad8a0aae9dddbef70e052bfb741f3d	3205	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-fable_challenger-1.raw.txt	3b1aaef97cf3e1eddf1249c32623c88aa13f9130b00152af7eafb6e3049eb30c	2953
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-fable_challenger-stderr-1.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/kimi_tie_breaker-1.raw	97836ea363783d6e49d1a2fa2473ce5072167993502fb8f41f6edf987cc66764	3374	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-kimi_tie_breaker-1.raw.txt	8673b496dac3ee2014f2458783bde9c88243e6023a947ee2bb2eccb254cc3a14	3351
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/mercury-1.raw	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-mercury-1.raw.txt	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/opus_challenger-2.raw	877482787b62ea0d8a78c9605b52d093d5407d9b6806a1354d4a5e0db0b61c51	13273	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-opus_challenger-2.raw.txt	e537b1f5cb2ec8c6728180d4aee3324014e2ffb2ba91b7d647377e25b01d8a56	12001
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-23-08-140z-1528666-9db0fc916e8b/opus_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-2-opus_challenger-stderr-2.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/fable_challenger-1.raw	2644569151ccce28b7028aae46621435c7f5e04799d5a2ee7959cd7f9458125b	3205	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-fable_challenger-1.raw.txt	6212a8f54dfb0d3a57f955636fc7caaa82f35f48573e12736a077c9515dfa615	2953
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-fable_challenger-stderr-1.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/kimi_tie_breaker-1.raw	596635de43bdf5fc7ef73025e25def67d8e3cb7340fc2c67ba64d7f00164333f	2711	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-kimi_tie_breaker-1.raw.txt	e005d767748ea575e5792e9b10a2b83a76ec4148e84a033af3a268e7e76372d8	2688
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/mercury-1.raw	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-mercury-1.raw.txt	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/opus_challenger-2.raw	fa38a3e3b171c1bf0f48f1a3c29ff93474f05f21a5375c4729aa63c34663818f	13266	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-opus_challenger-2.raw.txt	fd277583839bc26fa29fe2399ca6e06a034d36f689b9516b006d38f48b7ff8b2	11816
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-24-55-816z-1529115-eab863da3d01/opus_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-3-opus_challenger-stderr-2.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
